Name,url,rss,env,priority,done,ID,no_content,notes
New York Times,nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/Climate.xml,,,,1,,
Washington Post (Global),washingtonpost.com,http://feeds.washingtonpost.com/rss/world,,,,2,,
The Christian Science Monitor,csmonitor.com,https://rss.csmonitor.com/feeds/environment,,,,3,,
USA Today,usatoday.com,http://rssfeeds.usatoday.com/usatoday-NewsTopStories,,,,4,,
Los Angeles Times,latimes.com,,,,,6,,
Chicago Tribune,chicagotribune.com,https://www.chicagotribune.com/arcio/rss/category/news/breaking/?query=display_date:%5Bnow-2d+TO+now%5D+AND+revision.published:true&sort=display_date:desc#nt=instory-link,,,,9,,
Houston Chronicle,chron.com,https://www.chron.com/rss/feed/News-270.php,,,,10,,
Dallas Morning News,dallasnews.com,,,,,12,,
The Boston Globe ,bostonglobe.com,,,,,15,,
NJ Star Ledger,nj.com,,,,,16,,
The Philadelphia Inquirer & Inquirer.com,inquirer.com,,,,,18,,
Star Tribune,startribune.com,,,,,19,,
The Minneapolis Star Tribune,startribune.com,https://www.startribune.com/local/index.rss2,,,,19,,
Detriot Free Press,freep.com,http://rssfeeds.freep.com/freep/home,,,,21,,
Tampa Bay Times,tampabay.com,,,,,22,,
The Oregonian,oregonlive.com,,,,,23,,
The Sacramento Bee,sacbee.com,,,,,26,,
Miami Herald,miamiherald.com,,,,,28,,
San Jose Mercury News,mercurynews.com,https://www.mercurynews.com/feed/,,,,35,,
South Florida Sun Sentinel,sun-sentinel.com,https://www.sun-sentinel.com/arcio/rss/category/local/?query=display_date:%5Bnow-2d+TO+now%5D+AND+revision.published:true&sort=display_date:desc#nt=instory-link,,,,39,,
Seattle Times,seattletimes.com,,,,,40,,
The Seattle Times,seattletimes.com,,,,,40.1,,
Columbus Dispatch,dispatch.com,,,,,41,,
The Oklahoman,oklahoman.com,,,,,43,,
Pittsburgh Post-Gazette,powersource.post-gazette.com,,,,,45,,
Detroit News,detroitnews.com,http://rssfeeds.detroitnews.com/detroit/home,,,,50,,
Richmond Times,richmond.com,https://richmond.com/search/?f=rss&t=article&c=news&l=50&s=start_time&sd=desc,,,,53,,
The press-Enterprise,pe.com,https://www.pe.com/feed/,,,,63,,
Las Vegas Review - Journal,reviewjournal.com,https://www.reviewjournal.com/feed/,,,,64,,
Washington Times,washingtontimes.com,https://www.washingtontimes.com/rss/headlines/news/,,,,101,,
The Daily Herald (Illinois),dailyherald.com,https://www.dailyherald.com/rss/feed/?feed=news_top5,,,,104,,
,thinkprogress.org,,,,,111,,
Talking Points Memo,talkingpointsmemo.com,https://talkingpointsmemo.com/feed/atom,,,,113,,
DCist,dcist.com,,,,,150,,
CQ & Roll Call,rollcall.com,,,,,215,,
,nationaljournal.com,,,,,290,,
The New Republic,newrepublic.com,,,,,401,,
The American Prospect,prospect.org,https://prospect.org/api/rss/all.rss,,,,419,,
UN Dispatch,undispatch.com,https://www.undispatch.com/feed/,,,,449,,
FactCheck,factcheck.org,https://www.factcheck.org/feed/,,,,798,,
Reuters Breaking News,reuters.com,,,,,1089,,
Reuters,reuters.com,,,,,1089,,
