,ID,done,Name,rss,tags,region,status,notes,last_scraped,total_scraped,element_name,attribute_name,attribute_content,URL,Projects
0,11,done,Berkshire Hathaway,,,,,,,,,,,http://influencemap.org/company/Berkshire-Hathaway,Climate Change
1,12,done,ExxonMobil,https://corporate.exxonmobil.com/feed,,,,,,,div,class,rich-text--content,http://influencemap.org/company/Exxon-Mobil,"Climate Change, Oil and Gas Sector Analysis, Subsidies, Shipping Sector Analysis"
2,13,done,General Electric,https://www.ge.com/news/subscribe/all/rss.xml,,,,,,,div,class,article-content,http://influencemap.org/company/General-Electric,Climate Change
3,14,done,Royal Dutch Shell,,,,,,,,,,,http://influencemap.org/company/Royal-Dutch-Shell,"Climate Change, Oil and Gas Sector Analysis, Subsidies"
4,15,done,Toyota Motor,,,,,,,,,,,http://influencemap.org/company/Toyota-Motor,"Climate Change, NOX, NOX, Energy Strategy"
5,16,done,Apple,https://www.apple.com/newsroom/rss-feed.rss,,,,,,,article,class,article,http://influencemap.org/company/Apple-385f398538b2e6145dcb8afdc945c263,Climate Change
6,17,done,BP,,,,,,,,,,,http://influencemap.org/company/BP-94bc79de9cd9bff157e9d554618aaa09,"Climate Change, Oil and Gas Sector Analysis, Subsidies"
7,18,done,Chevron,,,,,,,,,,,http://influencemap.org/company/Chevron-f4b47c4ea77f0f6249ba7f77d4f210ff,"Climate Change, Oil and Gas Sector Analysis, Subsidies"
8,19,done,Volkswagen,https://www.volkswagenag.com/en/news.webfeed.html,,,,,,,div,class,section,http://influencemap.org/company/Volkswagen-9e7f6038049cce3caa35490440a6a54b,"Climate Change, NOX"
9,20,done,Walmart Stores,https://corporate.walmart.com/rss?feedName=allnews,,,,,,,div,class,PressReleasePage-articleBody,http://influencemap.org/company/Wal-mart-Stores,"Climate Change, Shipping Sector Analysis"
10,21,done,Samsung Electronics,,,,,,,,,,,http://influencemap.org/company/Samsung-Electronics,Climate Change
11,22,done,AT&T,http://feeds.feedburner.com/AttAllCategoriesRssFeeds,,,,,,,div,class,text section,http://influencemap.org/company/AT-T,Climate Change
12,23,done,Total,https://www.total.com/fr/rss-feeds/news.xml?type=All,,,,,,,div,id,block-total-com-content,http://influencemap.org/company/Total-5a9f086d9a2ce300529ea4eb020d1aa3,"Climate Change, Oil and Gas Sector Analysis"
13,24,done,Verizon Communications,,,,,,,,,,,http://influencemap.org/company/Verizon-Communications,Climate Change
14,25,done,Daimler,https://media.daimler.com/rss/marsMediaSite/918011/en/All%20news.xml,,,,,,,div,class,content-fill,http://influencemap.org/company/Daimler-28530a4914fd654eaf2de6ef8feb5470,"Climate Change, NOX"
15,26,done,Microsoft,https://news.microsoft.com/feed/,,,,,,,main,id,main,http://influencemap.org/company/Microsoft-7d653460f792e07f6b11b6c4fe696330,Climate Change
16,27,done,IBM,https://newsroom.ibm.com/announcements?pagetemplate=rss,,,,,,,div,class,node__content,http://influencemap.org/company/IBM-c8583f2ea91cb2532221be534b45f8cf,Climate Change
17,28,done,Nestlé,https://www.nestle.com/news-rss.xml,,,,,,,div,class,news,http://influencemap.org/company/Nestle-ed1237ea9a806b4921ed6578c090c549,Climate Change
18,29,done,Vodafone Group,,,,,,,,,,,http://influencemap.org/company/Vodafone-Group,Climate Change
19,30,done,Eni,,,,,,,,,,,http://influencemap.org/company/ENI-f50369f20d3a3fdc4c2ce661963277d0,"Climate Change, Oil and Gas Sector Analysis"
20,31,done,Procter & Gamble,,,,,,,,,,,http://influencemap.org/company/Procter-Gamble,Climate Change
21,32,done,Johnson & Johnson,https://www.jnj.com/rss-feed/all.rss,,,,,,,div,class,PressReleasePage-richTextModule,http://influencemap.org/company/Johnson-Johnson,Climate Change
22,33,done,BHP,,,,,,,,,,,http://influencemap.org/company/BHP-Billiton,Climate Change
23,34,done,Pfizer,https://www.pfizer.com/newsfeed,,,,,,,div,role,main,http://influencemap.org/company/Pfizer-f9ce5545ca4f4ddf29b96ae6b3d033f3,Climate Change
24,35,done,Ford Motor,https://media.ford.com/content/fordmedia/fna/us/en/news.rss,,,,,,,div,class,content,http://influencemap.org/company/Ford-Motor,"Climate Change, NOX"
25,36,done,BMW Group,https://www.press.bmwgroup.com/global/rss2,,,,,,,div,id,article-text,http://influencemap.org/company/BMW-Group,"Climate Change, NOX"
26,37,done,EDF,,,,,,,,,,,http://influencemap.org/company/EDF-72fdabf53d6bf3e73276df658a32042a,"Climate Change, UK Power Sector"
27,38,done,Alphabet,https://www.blog.google/rss,,,,,,,main,id,jump-content,http://influencemap.org/company/Google-55106f7e39973bc5344cdf3b71aaed19,Climate Change
28,39,done,Siemens,,,,,,,,,,,http://influencemap.org/company/Siemens-c03250d0a463d5cd7dbeebe141e2927b,Climate Change
29,40,done,Novartis,https://www.novartis.com/rss/feeds/en.xml,,,,,,,div,id,content,http://influencemap.org/company/Novartis-d398fd975ca5697fd0bcfd54c15c5d48,Climate Change
30,41,done,Comcast,,,,,,,,,,,http://influencemap.org/company/Comcast-ff0c1dd853828f5d921b6f44e4cc97a3,Climate Change
31,42,done,Nippon Telegraph & Telephone,,,,,,,,,,,http://influencemap.org/company/Nippon-Telegraph-Telephone,"Climate Change, Energy Strategy"
32,43,done,Anheuser Busch InBev,,,,,,,,,,,http://influencemap.org/company/Anheuser-Busch-InBev,Climate Change
33,44,done,General Motors,,,,,,,,,,,http://influencemap.org/company/General-Motors,"Climate Change, NOX"
34,45,done,Telefonica,https://www.telefonica.com/web/press-office/rss/-/asset_publisher/6OUaHKHmc093/rss,,,,,,,div,class,asset-content,http://influencemap.org/company/Telefonica-3f7ceb0624e18a6c2ecb1ff7afcd7c6b,Climate Change
35,46,done,Honda Motor,https://global.honda/common/dam_img/rss/news.rss,,,,,,,div,class,layout-column,http://influencemap.org/company/Honda-Motor,"Climate Change, NOX, Energy Strategy"
36,47,done,Enel,,,,,,,,,,,http://influencemap.org/company/Enel-e3acfc23c1f0dfd05759e00c3fa35175,Climate Change
37,48,done,BASF,,,,,,,,,,,http://influencemap.org/company/BASF-9c2526b336864ffb52b43107fe4296b5,Climate Change
38,49,done,Softbank,,,,,,,,,,,http://influencemap.org/company/Softbank-3e421d159f729b8a21bf09fee96440cb,"Climate Change, Energy Strategy"
39,50,done,Intel,https://feeds.feedburner.com/intelnewsroom,,,,,,,div,class,entry-content,http://influencemap.org/company/Intel-d529169d00787bfdcc3ec143fe6335a9,Climate Change
40,51,done,HP Inc,https://investor.hp.com/rss/PressRelease.aspx,,,,,,,div,class,module_body,http://influencemap.org/company/Hewlett-Packard,Climate Change
41,52,done,Coca Cola,https://investors.coca-colacompany.com/news-events/press-releases/rss,,,,,,,div,class,main-content,http://influencemap.org/company/Coca-Cola,Climate Change
42,53,done,Cisco Systems,https://newsroom.cisco.com/data/syndication/rss2/topStories_20.xml,,,,,,,div,class,main-content,http://influencemap.org/company/Cisco-Systems,Climate Change
43,54,done,Lukoil,,,,,,,,,,,http://influencemap.org/company/Lukoil-137a7d601da038d6fea9fbc2653de0f1,Climate Change
44,55,done,Boeing,https://boeing.mediaroom.com/news-releases-statements?pagetemplate=rss,,,,,,,div,id,wd_printable_content,http://influencemap.org/company/Boeing-8069fc81ee891c2f7dda59ed922b5e24,Climate Change
45,56,done,UnitedHealth Group,https://www.unitedhealthgroup.com/newsroom/uhgall-rss.rss.xml,,,,,,,div,class,cmp-text-uhg body-copy-component page-gutter,http://influencemap.org/company/UnitedHealth-Group,Climate Change
46,57,done,Hyundai Motor,,,,,,,,,,,http://influencemap.org/company/Hyundai-Motor,"Climate Change, NOX"
47,58,done,Sanofi,https://feeds.sanofi.com/globenewswire/en/last5,,,,,,,div,class,ui-newsdetail-left,http://influencemap.org/company/Sanofi-9117d5b849b012576ac290290b12cdd0,Climate Change
48,59,done,Roche Group,https://www.roche.com/med_news_xml.xml,,,,,,,div,id,content,http://influencemap.org/company/Roche-Group,Climate Change
49,60,done,Raytheon Technologies Corporation (formerly United Technologies),,,,,,,,,,,http://influencemap.org/company/United-Technologies,Climate Change
50,61,done,PepsiCo,,,,,,,,,,,http://influencemap.org/company/PepsiCo-33074bfca647ae041e776b4f3ede20b9,Climate Change
51,62,done,Oracle,,,,,,,,,,,http://influencemap.org/company/Oracle-ece56be9dd10c60f99c3cc1efc3cd7c6,Climate Change
52,63,done,CVS Health,,,,,,,,,,,http://influencemap.org/company/CVS-Health,Climate Change
53,64,done,Merck,,,,,,,,,,,http://influencemap.org/company/Merck-00fa3a33e65b337f3c68eaebfef624a3,Climate Change
