ID,Name,rss,done?,URL,Projects,f_and_c
263970,Mitsubishi UFJ Financial Group,,done,http://influencemap.org/company/Mitsubishi-UFJ-Financial-Group-4d0f732832f01cf3d2a97585f50017ab,"Energy Strategy, Finance and Climate, Engagement Analysis",yes
263971,Mizuho Financial Group,,done,http://influencemap.org/company/Mizuho-Financial-Group-92f5756dc8d48a91c6f6b4cdb26a0580,"Energy Strategy, Finance and Climate, Engagement Analysis",yes
403116,HSBC,https://www.hsbc.com/rss-feed,done,http://influencemap.org/company/HSBC-Holdings-1de7d9c226f74109101a5de37abcc0fc,"Sustainable Finance, Engagement Analysis, Finance and Climate",yes
403195,BNP Paribas,https://group.bnpparibas/en/rss/news,done,http://influencemap.org/company/BNP-Paribas-2fc34d531bc028543aa6487d2fb55a08,"Sustainable Finance, Engagement Analysis, Finance and Climate",yes
403274,Allianz,,done,http://influencemap.org/company/Allianz-2906a458cbce6824fd83c289dbeee3e0,"Sustainable Finance, Engagement Analysis, Finance and Climate",yes
403353,Santander,http://investors.santanderconsumerusa.com/rss/pressrelease.aspx,done,http://influencemap.org/company/Banco-Santander-a48f3abb68f0e4aec9a272d3ed5be15a,"Sustainable Finance, Finance and Climate, Engagement Analysis, Engagement Analysis, Engagement Analysis",yes
403432,AXA,https://www.axa.com/en/rss,done,http://influencemap.org/company/AXA-Group-b9fa3b893c5f7a927a65af52091a31fc,"Sustainable Finance, Engagement Analysis, Finance and Climate",yes
403511,ING,https://www.ing.com/news.rss,done,http://influencemap.org/company/ING-Group-72e4c6db0a8aae4dbc1727bef55e5b1f,"Sustainable Finance, Finance and Climate, Engagement Analysis",yes
403748,Lloyds Banking Group,,done,http://influencemap.org/company/Lloyds-Banking-Group-3f5de1c102d061ef3a2a022471a95ef6,"Sustainable Finance, Finance and Climate",yes
404222,Credit Agricole,https://www.credit-agricole.com/en/rss_flux/183839,done,http://influencemap.org/company/Credit-Agricole-8f9efc55dd2c4409f8a19350c17fd121,"Sustainable Finance, Engagement Analysis, Finance and Climate",yes
404301,Société Générale,,done,http://influencemap.org/company/Soci-t-G-n-rale-0d6dbbc3f47e77e66d2a40c54d077e72,"Sustainable Finance, Finance and Climate, Engagement Analysis",yes
404380,UBS,https://www.ubs.com/global/en/media/_jcr_content/mainpar/toplevelgrid_1664602674/col1/searchdrivenactivity_1097886631.rss.xml,done,http://influencemap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682,"Sustainable Finance, Engagement Analysis, Finance and Climate",yes
404696,BlackRock,https://www.blackrockbkcc.com/rss/news-releases.xml?items=15,done,http://influencemap.org/company/BlackRock-f3dcafffa2ab437101eda05738f9bd77,"Sustainable Finance, Engagement Analysis, Climate Change, Finance and Climate",yes
405012,JPMorgan Chase,https://jpmorganchaseco.gcs-web.com/rss/news-releases.xml,done,http://influencemap.org/company/J-P-Morgan-d321a17da1ee575e58c9879a8aaa61de,"Sustainable Finance, Engagement Analysis, Climate Change, Climate Change, Finance and Climate",Yes
412648,Goldman Sachs,,done,http://influencemap.org/company/Goldman-Sachs-0fa8375269f8b6cc487e435da637b393,"Sustainable Finance, Engagement Analysis, Climate Change, Finance and Climate",yes
413122,Deutsche Bank,http://www.dbresearch.com/PROD/RPS_EN-PROD/RSS_GROUP_HOME_EN.calias,done,http://influencemap.org/company/Deutsche-Bank-a5383ed2c795be0db9ff9d362f69b4bc,"Sustainable Finance, Engagement Analysis, Finance and Climate",yes
413675,Barclays,,done,http://influencemap.org/company/Barclays-9a579a217972c79cd6a1201abe134c5a,"Sustainable Finance, Finance and Climate, Engagement Analysis",yes
421966,Bank Of America,http://investor.bankofamerica.com/rss/news-releases.xml?items=15,done,http://influencemap.org/company/Bank-Of-America-bf1bc73d9bf51fc904365193669853c9,"Climate Change, Finance and Climate, Engagement Analysis, Sustainable Finance",yes
422708,Citigroup,https://www.citigroup.com/citi/news/xml/news_rss.xml,done,http://influencemap.org/company/Citigroup-ab9e337a1a987ccfe3685f410327918e,"Climate Change, Finance and Climate, Engagement Analysis",yes
424192,Morgan Stanley,https://www.morganstanley.com/press-releases.msfeed.xml,done,http://influencemap.org/company/Morgan-Stanley-519c02772a41f1416c348fc8f654109e,"Climate Change, Engagement Analysis, Sustainable Finance, Finance and Climate",yes
425570,Wells Fargo,https://blogs.wf.com/assetmanagement/feed/,done,http://influencemap.org/company/Wells-Fargo-edfc446a82c92d23f50913205d8ea1c4,"Climate Change, Finance and Climate, Engagement Analysis",yes
429517,TD Bank,,done,http://influencemap.org/company/TD-Bank-e2414a01bd4ec6a6432e10cdc65e1ebc,"Engagement Analysis, Finance and Climate",yes
453453,Sumitomo Mitsui Trust Holdings,,done,http://influencemap.org/company/Sumitomo-Mitsui-Trust-Holdings-25959bc8e0556c1113eb27170a243fa4,Engagement Analysis,yes
485534,Royal Bank of Canada,,done,http://influencemap.org/company/Royal-Bank-of-Canada-dfb27dd0f3686f6495648cdb5c8f1538,"Engagement Analysis, Finance and Climate",yes
545789,Commonwealth Bank of Australia,,done,http://influencemap.org/company/COMMONWEALTH-BANK-OF-AUSTRALIA-a565e6ea7121f03fa8cdb2932501bdb9,"Climate Change, Finance and Climate",yes
693712,PING AN INSURANCE GROUP CO OF CHINA LTD,,done,http://influencemap.org/company/PING-AN-INSURANCE-GROUP-CO-OF-CHINA-LTD-0baf857cae3a092cbf1c6e34475b9eb2,"Finance and Climate, Finance and Climate",yes
693934,ITAU UNIBANCO HOLDING SA,https://ir.itau.cl/rss/pressrelease.aspx,done,http://influencemap.org/company/ITAU-UNIBANCO-HOLDING-SA-8fce9ff4457609de6273977bbcff4ff3,"Finance and Climate, Engagement Analysis",yes
694000,Bank of Nova Scotia,,done,http://influencemap.org/company/Bank-of-Nova-Scotia-76ff15cbace9bc6555c69234eddccc3e,"Finance and Climate, Engagement Analysis",yes
694066,BANCO BRADESCO SA,,done,http://influencemap.org/company/BANCO-BRADESCO-SA-816de56ac4e9878ddbd608c3cdc0757b,"Finance and Climate, Engagement Analysis",yes
707524,Prudential Financial Inc,https://news.prudential.com/feeds/prudential-featured-stories.xml,done,http://influencemap.org/company/Prudential-Financial-Inc-645b48dcc9514330848ea58757670817,"Finance and Climate, Engagement Analysis, Sustainable Finance",yes
