Name_jp,Name,url,rss,ID
??????,??????,https://www.atpress.ne.jp/,https://www.atpress.ne.jp/rss/index.rdf,1
AERA,AERA,https://dot.asahi.com/aera/,https://dot.asahi.com/rss/allnew.rss,2
Agrio??????,Agrio,https://www.jiji.com/service/agrio/,,3
Aviation Wire,Aviation Wire,https://www.aviationwire.jp/,https://www.aviationwire.jp/feed,4
CB????????,CB News ,https://www.cbnews.jp/,https://www.cbnews.jp/rss/news.xml,5
CNET Japan,CNET Japan,https://japan.cnet.com/,http://feeds.japan.cnet.com/rss/cnet/all.rdf,6
DIAMOND???????????????,DIAMOND,https://www.dhbr.net/,,7
Digital PR Platform,Digital PR Platform,https://digitalpr.jp/,,8
???????,IP Journal ,http://fdn-ip.or.jp/ipjournal/opened_articles/,,9
ITmedia,Itmedia,https://www.itmedia.co.jp/,,10
JMA??????,IMA Management ,https://jma-news.com/management,,11
LexisNexis????????????,BLJ Online ,http://www.businesslaw.jp/blj-online/,http://www.businesslaw.jp/blj-online/index.xml,12
?????????,Marr Online ,https://www.marr.jp/marr,,13
Mac Fan,Mac Fan,https://book.mynavi.jp/macfan/?fbclid=IwAR0sJFeB9WTM5oEcLj0Q0B1B8xiWqizF8GTKTbBGflpfYqPDDMrTOpJLyYE,,14
METI Journal,METI Journal,https://meti-journal.jp/,https://meti-journal.jp/feed/,15
NHK????,NHK,https://www3.nhk.or.jp/news/?utm_int=all_header_menu_news,,16
Nikkei Asia ,Nikkei Asia ,https://asia.nikkei.com/,,17
Nikkei Financial ,Nikkei Financial ,https://financial.nikkei.com/,,18
PR TIMES,PR TIMES,https://prtimes.jp/,,19
SankeiBiz,SankeiBiz,https://www.sankeibiz.jp/,,20
TKC?????,TKC,https://www.tkc.jp/cc/senkei/,,21
ValuePress!,ValuePress!,https://www.value-press.com/,,22
WING DAILY,WING DAILY,http://www.jwing.net/,,23
WIRED.jp,WIRED.jp,https://wired.jp/,,24
ZDNet Japan,ZDNet Japan,https://japan.zdnet.com/,,25
??????????,Energy forum,https://energy-forum.co.jp/,,26
?????TV????,Mdata ,https://mdata.tv/,,27
?????????,Gas energy news ,https://www.gas-enenews.co.jp/,,28
??????,Japan Rubber weekly ,https://gomuhouchi.com/,,29
????????,Concrete news ,https://www.beton.co.jp/webmagazine.html,,30
????????,eachina ,http://www.searchina.net/,,31
??????,Sunday Mainichi ,http://mainichibooks.com/sundaymainichi/,,32
?????,jurist,http://www.yuhikaku.co.jp/jurist,,33
???????????????????,Diamond chain store ,https://diamond-rm.net/,https://diamond-rm.net/feed/,34
??????,Daily Tohoku ,https://www.daily-tohoku.news/,,35
?????????,Japan Consumer press ,https://www.jc-press.com/,,36
????????????????????,Newsweek ,https://www.newsweekjapan.jp/,https://www.newsweekjapan.jp/story/rss.xml,37
????????????,Housing tribune online ,https://htonline.sohjusha.co.jp/,https://htonline.sohjusha.co.jp/feed/,38
????,Barron's ,https://barrons.jiji.com/,,39
???????,Business wire,https://www.businesswire.com/portal/site/home/news/language/?vnsId=32413,https://feed.businesswire.com/rss/home/?rss=G1QFDERJXkJeEVJSXQ==,40
????? ????,Forbes Japan ,https://forbesjapan.com/,,41
???????????,President online ,https://president.jp/,,42
?????????????,Rim intellience ,https://www.rim-intelligence.co.jp/,,43
??????????,Reuters ,https://jp.reuters.com/news,,44
????,Jomo shimbun ,https://www.jomo-news.co.jp/,,45
????,Shimotsuke Shimbun,https://www.shimotsuke.co.jp/,,46
????,Chunichi shimbun,https://www.chunichi.co.jp/,,47
??????,MID-JAPAN ECONOMIST.,https://www.chukei-news.co.jp/,,48
????,Kotsu shimbun ,https://news.kotsu.co.jp/,,49
??????,Kigyo club ,http://kigyoka.com/news/index.html,,50
????,JUTAKU-SHIMPO,https://www.jutaku-s.com/,https://www.jutaku-s.com/rss?type=news,51
??????,Housing industry news ,https://www.housenews.jp/,,52
????????,Health industry maketing news ,http://www.him-news.com/,,53
????PR????,Kyodo PR wire ,https://kyodonewsprwire.jp/,,54
????????,Kyodo news ,https://www.kyodo.co.jp/news/,,55
??????,The suitan times ,http://www.suisantimes.co.jp/,,56
? ? ????????,Energy ,http://www.enekan.net/pv_plus/,,57
????,Labour news ,https://www.rodo.co.jp/news/,,58
??????,Chemical Daily,https://www.chemicaldaily.co.jp/,,59
?????,KITANIPPON SHIMBUN,https://webun.jp/news,,60
???????,Nuclear news ,https://www.jaif.or.jp/journal/,,61
??????, SangyoTimes ,https://www.sangyo-times.jp/rtn/default.aspx,,62
????,TORYO HOCHI SHINBUNSHA,https://www.e-toryo.co.jp/,,63
????,Zakzak ,https://www.zakzak.co.jp/,,64
????????,Real Estate,https://www.reinet.or.jp/?page_id=184,,65
??????,Nikkan Kensetsu Kogyo Shinbun,https://www.decn.co.jp/,,66
????,Building daily news ,http://www.jcpress.co.jp/,,67
??????,Kensetsu news ,https://www.kensetsunews.com/web-kan,https://www.kensetsunews.com/feed?published_news_flg,68
????,KENTSU SHIMBUN,https://www.kentsu.co.jp/,,69
????????,Bunka tsushin ,https://www.bunkatsushin.com/,,70
???????,Shinnihon Hoken Shimbun,https://www.shinnihon-ins.co.jp/,,71
?????????,Real Estate Economic,https://www.fudousankeizai.co.jp/daily,,72
??????,NIKKAN KOGYO SHIMBUN,https://www.nikkan.co.jp/,http://www.nikkan.co.jp/rss/nksrdf.rdf,73
????????,Nikkan Kensetsu Kogyo Shinbun,https://www.decn.co.jp/,,74
????????,KENSETSU SANGYO SHINBUN,http://kensan-news.com/index.php,,75
??????,Forest Products Journal ,https://jfpj.jp/,,76
????????, SUISAN-KEIZAI,https://www.suikei.co.jp/,,77
??????,Metal bulletin ,https://www.japanmetal.com/,,78
???????,Nikkan?Jidosha?Shimbun,https://www.netdenjd.com/,,79
????,nikkan yakugyo,https://nk.jiho.jp/article/p-1226550154333,,80
??????,Dempa digital ,https://dempa-digital.com/,,81
?????????,Nippon news network ,https://www.news24.jp/nnn/index.html,,82
?????????,nichiryu web ,https://www.bci.co.jp/netkeizai,,83
???????,Jimuki news ,http://jimuki.sakura.ne.jp/,,84
??????,Pjweb news ,http://www.pjl.co.jp/,http://www.pjl.co.jp/news/atom.xml,85
????????,JOHOSANGYO SHINBUN,http://www.josan.jp/,,86
??????,Nikkyo web ,https://www.kyoiku-press.com/nweb/,,87
??????,Maritime daiy ,https://www.jmd.co.jp/,,88
?????,Nihonkai,https://www.nnn.co.jp/,https://www.nnn.co.jp/rss/today.xml,89
????????,shohi keizai shimbun ,http://www.nc-news.com/,,90
??????,Nikkei ,https://www.nikkei.com/,,91
??????,Nihon Securities Journal,https://www.nsjournal.jp/,,92
??????,Agricultural news ,https://www.agrinews.co.jp/,,93
??????,Food journal ,https://news.nissyoku.co.jp/,,94
?????? ,Nikkei Business ,https://business.nikkei.com/,,95
????,Eizo journal ,http://www.eizoshimbun.com/,,96
????,Legistration times ,http://www.garyusha.com/wp/,,97
????,Jiji ,https://www.jiji.com/jc/list?g=news,,98
????????,Asahi digital ,https://www.asahi.com/,,99
????,Tokyo shimbun ,https://www.tokyo-np.co.jp/,,100
????,Tosho shimbun ,https://www.tokyo-cci.or.jp/newspaper/,,101
?????????,Toyo keizai online ,https://toyokeizai.net/,https://toyokeizai.net/list/feed/rss,102
????,Mainichi shimbun ,https://mainichi.jp/,,103
??????,Suido sangyo shimbun ,http://www.suidou.co.jp/,,104
????,Kankyo shimbun ,http://www.kankyo-news.co.jp/,,105
????,Sankei news ,https://www.sankei.com/,,106
????,kagaku shimbun ,https://sci-news.co.jp/topics/,,107
????,shukan shoyogyo,https://www.syogyo.jp/media/nippo,,108
??????,Keiei senser ,https://www.tbr.co.jp/report/sensor/,,109
????,SENKEN SHIMBUN,https://senken.co.jp/,,110
??????,SENKEN News ,http://www.sen-i-news.co.jp/seninews/today.do,,111
????,Yakuji Nippo,https://www.yakuji.co.jp/,https://www.yakuji.co.jp/feed,112
????,Yakkyoky shombun ,http://yakkyoku-shimbun.co.jp/,,113
????,yomiuri shimbun ,https://www.yomiuri.co.jp/,,114
????,Yuso shimbun ,https://sa746767.sixcore.jp/,,115
?????,BCN,https://www.weeklybcn.com/journal/news/,,116
????????,Economist online ,https://weekly-economist.mainichi.jp/,,117
????????,Diamond online ,https://diamond.jp/,https://diamond.jp/list/feed/rss/dol,118
????,Real estate weekly,https://www.sjt.co.jp/,,119
????????,Labour news ,https://www.rodo.co.jp/,,120
????,Asahi,https://publications.asahi.com/ecs/24.shtml,,121
????,Shukan Shogyo,https://www.syogyo.jp/,,122
????????,Kinzai,https://kinzai-online.jp/,,123
??????,KINSAN FASTENER NEWS,http://www.neji-bane.jp/,http://www.neji-bane.jp/feed/atom/?post_type=news,124
????,Japan metal daily ,https://www.japanmetaldaily.com/,https://www.japanmetaldaily.com/RSS.xml,125
????????????????????,SangyoTimes,https://www.sangyo-times.jp/scn/,,126
????,Denki Shimbun,https://www.denkishimbun.com/,https://www.denkishimbun.com/feed,127
????,Denkei Shimbun ,http://www.denkeishimbun.co.jp/,,128
