ID,done,Name,url,rss,tags,region,status,notes,element_name,attribute_name,attribute_content,last_scraped,total_scraped
1.0,done,New York Times,nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,big_news,,,,main,id,site-content,6/20/2023 20:37,40
1.3,done,New York Times (Europe),nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/Europe.xml,big_news,,,,main,id,site-content,6/29/2023 20:37,81
1.5,done,New York Times (New York),nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/NYRegion.xml,local,,,,main,id,site-content,6/29/2023 20:37,81
1.4,done,New York Times (Asia-Pacific),nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/AsiaPacific.xml,big_news,,,,main,id,site-content,6/29/2023 20:37,21
1.2,done,New York Times (Energy),nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/EnergyEnvironment.xml,"big_news, energy",,,,main,id,site-content,6/29/2023 20:37,64
1.1,done,New York Times (Environment),nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/Climate.xml,"big_news, env",,,,main,id,site-content,6/29/2023 20:38,390
2.0,done,Washington Post (Global),washingtonpost.com,http://feeds.washingtonpost.com/rss/world,big_news,,,extremely slow,div,class,article-body,7/23/2021 6:28,51
2.1,done,Washington Post (National),washingtonpost.com,http://feeds.washingtonpost.com/rss/national?itid=lk_inline_manual_39,big_news,,,extremely slow,div,class,article-body,,0
3.0,done,The Christian Science Monitor (Environment),csmonitor.com,https://rss.csmonitor.com/feeds/environment,"news, env",,,,article,id,story-content,8/28/2021 9:38,34
3.1,done,The Christian Science Monitor,csmonitor.com,https://rss.csmonitor.com/feeds/all,news,,,,,,,,0
4.0,done,USA Today,usatoday.com,http://rssfeeds.usatoday.com/usatoday-NewsTopStories,big_news,,,,main,class,gnt_cw,7/23/2021 6:41,74
6.0,done,Los Angeles Times,latimes.com,https://www.latimes.com/california/rss2.0.xml,big_news,,,,div,class,page-article-body,8/23/2021 10:17,100
7.0,done,Los Angeles Times (Environment),latimes.com,https://www.latimes.com/environment/rss2.0.xml#nt=1col-7030col1,"big_news, env",,,,div,class,rich-text-article-body,8/28/2021 9:38,202
9.0,done,Chicago Tribune,chicagotribune.com,https://www.chicagotribune.com/arcio/rss/category/news/breaking/?query=display_date:%5Bnow-2d+TO+now%5D+AND+revision.published:true&sort=display_date:desc#nt=instory-link,big_news,,,,section,id,left,7/23/2021 6:41,53
10.0,done,Houston Chronicle,chron.com,https://www.chron.com/rss/feed/News-270.php,big_news,,,,article,class,article--content,7/23/2021 6:42,25
11.0,done,Houston Chronicle (Energy),chron.com,https://www.chron.com/rss/feed/Energy-288.php,"big_news, energy",,,,article,class,article--content,12/11/2021 0:42,56
12.0,done,Dallas Morning News,dallasnews.com,,big_news,,,,,,,,0
15.0,done,The Boston Globe ,bostonglobe.com,,big_news,,,,,,,,0
16.0,done,NJ Star Ledger,nj.com,,local,,,,,,,,0
18.0,done,The Philadelphia Inquirer & Inquirer.com,inquirer.com,,local,,,,,,,,0
19.0,done,The Minneapolis Star Tribune,startribune.com,https://www.startribune.com/local/index.rss2,local,,,,div,class,article-body resizeFont,7/19/2021 9:55,24
21.0,done,Detriot Free Press,freep.com,http://rssfeeds.freep.com/freep/home,local,,,,article,class,gnt_pr,7/19/2021 9:55,30
22.0,done,Tampa Bay Times,tampabay.com,,local,,,,,,,,0
23.0,done,The Oregonian,oregonlive.com,,local,,,,,,,,0
26.0,done,The Sacramento Bee,sacbee.com,https://feeds.mcclatchy.com/sacbee/stories,local,,,,,,,,0
28.0,done,Miami Herald,miamiherald.com,https://feeds.mcclatchy.com/miamiherald/stories,local,,,,,,,,0
35.0,done,San Jose Mercury News,mercurynews.com,https://www.mercurynews.com/feed/,local,,,,div,class,article-body,7/19/2021 9:55,23
36.0,done,San Jose Mercury News (Environment),mercurynews.com,https://www.mercurynews.com/news/environment/feed/,"local, env",,,,div,class,article-body,8/28/2021 9:39,94
39.0,done,South Florida Sun Sentinel,sun-sentinel.com,https://www.sun-sentinel.com/arcio/rss/category/local/?query=display_date:%5Bnow-2d+TO+now%5D+AND+revision.published:true&sort=display_date:desc#nt=instory-link,local,,,,section,id,left,7/19/2021 9:55,29
40.0,done,Seattle Times,seattletimes.com,https://www.seattletimes.com/feed/,local,,,,,,,,0
